Style,Variant Code,total_quantity,stock_level,tier,Selling Price
MAGALIE,414.2XS,8.0,Critical,doing_good,427.0
MAGALIE,815.3XS.,8.0,Critical,doing_good,427.0
MAGALIE,990.2XS,8.0,Critical,doing_good,427.0
JULIETTE,6703XS,8.0,Critical,doing_good,397.0
MAGALIE,414.XS,8.0,Critical,doing_good,427.0
REETA,116.M,8.0,Critical,making_progress,119.99
REETA,116.XS,8.0,Critical,making_progress,119.99
WHITLEY CROSSBODY,632.NS.,8.0,Critical,making_progress,118.0
QUINCY,990.M,8.0,Critical,making_progress,117.0
SANDRO,990.S,8.0,Critical,making_progress,117.0
BOWEN,670XL,8.0,Critical,doing_good,449.0
AZARIA,116.3XS.,8.0,Critical,doing_good,449.0
CARTER,7332XL,8.0,Critical,doing_good,449.0
FAWN,100.3XS.,8.0,Critical,making_progress,119.99
IDA CARDHOLDER,929.NS,8.0,Critical,okay,29.0
JULIETTE,580.3XS,8.0,Critical,doing_good,397.0
DESTAN,990.L,8.0,Critical,doing_good,497.0
LOUISA,670.NS.,8.0,Critical,making_progress,149.0
KIMAYA,116.2XS.,8.0,Critical,doing_good,377.0
AILEE,553.00,8.0,Critical,making_progress,149.99
VALLIE,918.NS,8.0,Critical,okay,29.99
ATHENA,531.XS,8.0,Critical,making_progress,199.99
AILEE,410.06,8.0,Critical,making_progress,149.99
MILES,730.XS,8.0,Critical,doing_good,499.0
MAXTON,411.L,8.0,Critical,doing_good,499.0
DESTAN,460.XL.,8.0,Critical,doing_good,497.0
ALICE,990.S.,8.0,Critical,doing_good,379.0
AVERY,633.2XS,8.0,Critical,doing_good,379.0
NOVA,116.3XS.,8.0,Critical,doing_good,379.0
NOVA,116.XL.,8.0,Critical,doing_good,379.0
NOVA,990.3XS.,8.0,Critical,doing_good,379.0
DAAN,733.M,8.0,Critical,doing_good,379.99
MORGAN DUFFEL,990.NS,8.0,Critical,making_progress,199.0
LENNI,990.10,8.0,Critical,making_progress,199.0
VALE,977.XL.,8.0,Critical,doing_good,497.0
AVERY,990.2XS,8.0,Critical,doing_good,379.0
BRENNA,920.XL,8.0,Critical,making_progress,229.99
JULIETTE,670XS,8.0,Critical,doing_good,397.0
ALESSANDRA,990.XS,8.0,Critical,making_progress,229.99
CLAUDINE,990.2XS.,8.0,Critical,doing_good,299.99
KATHLEEN,990.12,8.0,Critical,making_progress,249.99
BRONTE,990.M,8.0,Critical,making_progress,249.99
SHEANA,990.L,8.0,Critical,okay,68.0
SHEANA,990.M,8.0,Critical,okay,68.0
BRONTE,990.XS,8.0,Critical,making_progress,249.99
BOSTON REVERSIBLE HOODIE,911.XS.,8.0,Critical,doing_good,677.0
BRENNA,920.L,8.0,Critical,making_progress,229.99
DAVE,990.L.,8.0,Critical,making_progress,249.99
GRADY,116.2XL.,8.0,Critical,making_progress,159.99
TONI,940.XS.,8.0,Critical,doing_good,647.0
TEAGAN,330.3XS.,8.0,Critical,making_progress,149.99
MIKEY,870.M.,8.0,Critical,making_progress,249.99
MIKEY,870.2XL.,8.0,Critical,making_progress,249.99
KATHLEEN,990.06,8.0,Critical,making_progress,249.99
AERYN,700.2XS,8.0,Critical,doing_good,299.99
JANE,919.3XS.,8.0,Critical,making_progress,249.0
AERYN,549.XS,8.0,Critical,doing_good,299.99
TINSLEY LARGE WALLET,360.NS,8.0,Critical,okay,79.99
DENZELL,730.L,8.0,Critical,best_sellers,1299.99
CAIN BOOTS,990.41.,8.0,Critical,making_progress,139.99
LORNA,870.06,8.0,Critical,doing_good,297.0
STEVIE,730.L,8.0,Critical,okay,77.0
GISELE,550.XL,8.0,Critical,okay,77.0
GISELE,710.L,8.0,Critical,okay,77.0
UPTOWN BACKPACK,952.NS,8.0,Critical,okay,24.99
GISELE,320.XS,8.0,Critical,okay,77.0
GISELE,340.S,8.0,Critical,okay,77.0
GLEN,990.M,8.0,Critical,doing_good,699.0
TATIANA,990.XL,8.0,Critical,doing_good,299.0
TATIANA,990.L,8.0,Critical,doing_good,299.0
GLEN,990.L,8.0,Critical,doing_good,699.0
GREER,990.39.,8.0,Critical,okay,79.0
SOHO 24,990.24,8.0,Critical,okay,79.99
DUNCAN,870.XS,8.0,Critical,making_progress,147.0
EMMILA,990.XL.,8.0,Critical,doing_good,329.0
DUNCAN,990.XL,8.0,Critical,making_progress,147.0
LUKA,977.XS.,8.0,Critical,doing_good,449.0
CHIARA,990.M,8.0,Critical,making_progress,87.0
ARLYN,990.S,8.0,Critical,making_progress,87.0
INDIRA,990XS,8.0,Critical,making_progress,87.0
FARRYN,620.XL,8.0,Critical,making_progress,87.0
LEWIS,620.XL,8.0,Critical,doing_good,329.0
ADVENTURE SEEKER 25,990.NS,9.0,Critical,making_progress,109.99
MAGALIE,312.S,9.0,Critical,doing_good,427.0
RENFIELD,916.2XL.,9.0,Critical,doing_good,349.99
AMORA,545.3XS.,9.0,Critical,doing_good,547.0
CLARICE,990.L,9.0,Critical,doing_good,349.0
ATHENA,990.2XS,9.0,Critical,making_progress,199.99
MAGALIE,815.2XL.,9.0,Critical,doing_good,427.0
MAGALIE,555.L.,9.0,Critical,doing_good,427.0
KAYDEN,916.3XL.,9.0,Critical,making_progress,199.99
MAGALIE,312.L,9.0,Critical,doing_good,427.0
CLARICE,990.S,9.0,Critical,doing_good,349.0
SAMUEL,870.L.,9.0,Critical,doing_good,349.0
CLARICE,990.2XS,9.0,Critical,doing_good,349.0
HENRIQUE,990XL,9.0,Critical,making_progress,97.0
AILEE,410.04,9.0,Critical,making_progress,149.99
BRENNA,116.2XL,9.0,Critical,making_progress,229.99
BRENNA,6202XL,9.0,Critical,making_progress,229.99
MILES,730.XL,9.0,Critical,doing_good,499.0
AILEE,410.08,9.0,Critical,making_progress,149.99
MORGAN DUFFEL,730.NS,9.0,Critical,making_progress,199.0
AILEE,553.10,9.0,Critical,making_progress,149.99
LORNA,116.02.,9.0,Critical,doing_good,297.0
SILA,909.26,9.0,Critical,making_progress,77.0
STEVIE,730.M,9.0,Critical,making_progress,77.0
ALMA SKIRT,990.04.,9.0,Critical,doing_good,349.0
HUDSON,870.L,9.0,Critical,making_progress,97.0
TATIANA,990.2XS,9.0,Critical,doing_good,299.0
KIMAYA,401.2XS.,9.0,Critical,doing_good,377.0
CORBAN,460.XS,9.0,Critical,doing_good,537.0
GREER,127.39.,9.0,Critical,making_progress,79.0
CIANA LARGE WALLET / CROSSBODY,820.NS,9.0,Critical,okay,0.0
ADELYN,990.2XS,9.0,Critical,doing_good,399.0
ADELYN,100.3XS,9.0,Critical,doing_good,399.0
JAMIE,990.M,9.0,Critical,doing_good,399.0
PAUL,700.XL.,9.0,Critical,doing_good,399.0
SANDER,990.2XL,9.0,Critical,doing_good,399.99
NOELA,919.L.,9.0,Critical,okay,67.0
JULIETTE,580.2XS,9.0,Critical,doing_good,397.0
JULIETTE,990.L,9.0,Critical,doing_good,397.0
MATTHEW,990.30,9.0,Critical,okay,67.0
NOELA,919.M.,9.0,Critical,okay,67.0
QUINCY,990.S,9.0,Critical,making_progress,117.0
ADVENTURE SEEKER 20,660.NS,9.0,Critical,making_progress,79.99
JAXON,733.3XL,9.0,Critical,doing_good,547.0
HAYDEN,990.3XL,9.0,Critical,doing_good,547.0
ROSA CROSSBODY BAG,632.NS.,9.0,Critical,making_progress,169.0
BRETTA,116.XL,9.0,Critical,making_progress,169.99
AIDA,555.S.,9.0,Critical,making_progress,169.99
BRETTA,116.2XL,9.0,Critical,making_progress,169.99
DAAN,733.2XL,9.0,Critical,doing_good,379.99
CHELSEY BACKPACK,350.NS,9.0,Critical,making_progress,99.0
HAYDEN,990.XS,9.0,Critical,doing_good,547.0
ROSCOE,116.XS.,9.0,Critical,making_progress,129.99
KAYDEN,350.2XL,9.0,Critical,making_progress,199.99
ASHBY,990.NS,9.0,Critical,okay,69.0
GLEN,990.2XL,9.0,Critical,doing_good,699.0
BOSTON REVERSIBLE HOODIE,731.XS.,9.0,Critical,doing_good,677.0
DARIA,990.2XS,9.0,Critical,doing_good,447.0
AERYN,580.2XS,9.0,Critical,doing_good,299.99
MILES,730.L,9.0,Critical,doing_good,499.0
RONAN,620.M,9.0,Critical,doing_good,449.0
SIMONE,990.2XS.,9.0,Critical,doing_good,567.0
REETA,414.XS,9.0,Critical,making_progress,119.99
ALVARO,908.38,9.0,Critical,making_progress,77.0
UPTOWN TOTE BAG,952.NS,9.0,Critical,okay,24.99
MANDY,990.L,9.0,Critical,doing_good,547.0
MONACO BIKER,990.3XS.,9.0,Critical,doing_good,527.0
ABERDEEN CARDHOLDER,857.NS,9.0,Critical,okay,29.0
BRAD,977.L.,9.0,Critical,doing_good,469.0
ODILE,990.L,9.0,Critical,making_progress,77.0
DEVINA,847.26,9.0,Critical,okay,57.0
ODILE,990.M,9.0,Critical,making_progress,77.0
KELVIN,890.38,9.0,Critical,okay,57.0
BOYD,890.44,9.0,Critical,okay,57.0
GISELE,320.L,9.0,Critical,making_progress,77.0
REETA,414.2XS,9.0,Critical,making_progress,119.99
LEWIS,620.2XL,9.0,Critical,doing_good,329.0
EMMILA,632.2XS.,9.0,Critical,doing_good,329.0
FARRYN,620.S,9.0,Critical,making_progress,87.0
FARRYN,620.M,9.0,Critical,making_progress,87.0
CHIARA,735.M,9.0,Critical,making_progress,87.0
LIAM,990.XL,9.0,Critical,making_progress,87.0
FARRYN,857.S.,9.0,Critical,making_progress,87.0
KELVIN,930.32,9.0,Critical,okay,57.0
MADALYN,710.14.,9.0,Critical,doing_good,497.0
CAMDEN 2,990.M,9.0,Critical,doing_good,547.0
JOLIE,932.12.,9.0,Critical,making_progress,89.99
EVIE,870.04.,9.0,Critical,doing_good,299.99
SEAN,990.3XL.,9.0,Critical,doing_good,597.0
EVIE,870.06.,9.0,Critical,doing_good,299.99
MAXTON,730.S,9.0,Critical,doing_good,499.0
LULA CARDHOLDER,905.NS,9.0,Critical,okay,49.0
ALEYNA,990.14.,9.0,Critical,making_progress,89.99
MILES,990.XS,9.0,Critical,doing_good,499.0
KEYSI MEDIUM BI-FOLD WALLET,700.NS,9.0,Critical,okay,59.0
SHARRIE,990.XS,9.0,Critical,making_progress,179.99
AERYN,549.2XS,9.0,Critical,doing_good,299.99
CHENAH SATCHEL,848.NS,9.0,Critical,okay,59.99
FRANK,990.S,9.0,Critical,doing_good,499.0
SILA,953.34,9.0,Critical,making_progress,77.0
MADALYN,545.02.,9.0,Critical,doing_good,497.0
DESTAN,460.XS.,9.0,Critical,doing_good,497.0
GISELE,710.M,9.0,Critical,making_progress,77.0
GISELE,320.M,9.0,Critical,making_progress,77.0
MONIKA,116.L.,9.0,Critical,doing_good,547.0
AERYN,549.S,9.0,Critical,doing_good,299.99
BOWEN,670S,9.0,Critical,doing_good,449.0
ROSCOE,116.2XL.,10.0,Critical,making_progress,129.99
DARLA,620.NS,10.0,Critical,okay,19.99
DARIA,990.XL,10.0,Critical,doing_good,447.0
MAXTON,730.2XL,10.0,Critical,doing_good,499.0
DESTAN,990.M,10.0,Critical,okay,0.0
MARTIN,321.M.,10.0,Critical,doing_good,449.0
ASHER,990.XS,10.0,Critical,doing_good,449.0
HUDSON,990.XL,10.0,Critical,making_progress,97.0
MADALYN,710.02.,10.0,Critical,doing_good,497.0
BERNARD,990.XS,10.0,Critical,doing_good,497.0
CHARLOTTE,990.2XS,10.0,Critical,doing_good,499.0
BRAX,870.41.,10.0,Critical,making_progress,129.99
MERRICK,990.S,10.0,Critical,making_progress,97.0
ISZY,550.NS,10.0,Critical,making_progress,129.99
KRYSTA LARGE WALLET,401NS,10.0,Critical,making_progress,99.99
SANDER,990.XS,10.0,Critical,doing_good,399.99
CORBAN,460.2XL,10.0,Critical,doing_good,537.0
CORBAN,990.XS,10.0,Critical,doing_good,537.0
MANDY,549.XL,10.0,Critical,doing_good,547.0
MANDY,990.2XS,10.0,Critical,doing_good,547.0
BETTY,116.XL.,10.0,Critical,doing_good,399.0
VIVENNE,990.M.,10.0,Critical,doing_good,399.0
BETTY,990.XL.,10.0,Critical,doing_good,399.0
ADELYN,990.S,10.0,Critical,doing_good,399.0
VIVENNE,990.XS.,10.0,Critical,doing_good,399.0
CORBAN,460.L,10.0,Critical,doing_good,537.0
CAMDEN 2,851.2XL,10.0,Critical,doing_good,547.0
JULIETTE,633.M,10.0,Critical,doing_good,397.0
CHARLOTTE,990.XL,10.0,Critical,doing_good,499.0
JULIETTE,670S,10.0,Critical,doing_good,397.0
BRAD,977.XL.,10.0,Critical,doing_good,469.0
HAYDEN,931.2XL,10.0,Critical,doing_good,547.0
MANDY,116.2XS,10.0,Critical,doing_good,547.0
JODIE,990.XL.,10.0,Critical,making_progress,97.0
JAXON,733.XS,10.0,Critical,doing_good,547.0
SIMONE,990.XL.,10.0,Critical,doing_good,567.0
MONACO REVERSIBLE JACKET,116.L.,10.0,Critical,doing_good,577.0
KLARICE,990.XL,10.0,Critical,making_progress,127.0
PORTIA,990.XS,10.0,Critical,doing_good,369.99
HUDSON,990.L,10.0,Critical,making_progress,97.0
AZRA,919.S.,10.0,Critical,making_progress,97.0
AZRA,919.L.,10.0,Critical,making_progress,97.0
AZRA,919.M.,10.0,Critical,making_progress,97.0
DARIA,990.M,10.0,Critical,doing_good,447.0
HAYDEN,931.M,10.0,Critical,doing_good,547.0
ESMEHA,932.04.,10.0,Critical,okay,59.99
ZUNY,990.L,10.0,Critical,making_progress,77.0
MIKEY,990.L.,10.0,Critical,doing_good,249.99
KATHLEEN,710.04,10.0,Critical,doing_good,249.99
LENNI,990.00,10.0,Critical,making_progress,199.0
LENNI,990.06,10.0,Critical,making_progress,199.0
DANA,990.06,10.0,Critical,doing_good,249.0
JANE,919.2XS.,10.0,Critical,doing_good,249.0
KAYDEN,916.2XL,10.0,Critical,making_progress,199.99
HUNTLEY,870.2XL.,10.0,Critical,making_progress,199.99
KAYDEN,916.XL,10.0,Critical,making_progress,199.99
MATTHEW,990.44,10.0,Critical,okay,67.0
MATTHEW,990.42,10.0,Critical,okay,67.0
NOELA,919.S.,10.0,Critical,okay,67.0
SILA,909.42,10.0,Critical,making_progress,77.0
FARRYN,990S,10.0,Critical,making_progress,87.0
FARRYN,857.M.,10.0,Critical,making_progress,87.0
FARRYN,549.L.,10.0,Critical,making_progress,87.0
VAYDA,990.S,10.0,Critical,making_progress,87.0
KATHLEEN,710.02,10.0,Critical,doing_good,249.99
JARRON,990.S,10.0,Critical,doing_good,299.99
MARCY,250.NS,10.0,Critical,making_progress,79.99
MENA CROSSBODY WALLET,853.NS,10.0,Critical,making_progress,79.99
NOLAN,870.L,10.0,Critical,making_progress,77.0
SILA,953.40,10.0,Critical,making_progress,77.0
ZUNY,990.S,10.0,Critical,making_progress,77.0
STEVIE,990.S,10.0,Critical,making_progress,77.0
SILA,909.32,10.0,Critical,making_progress,77.0
GENEVIVE,990.L,10.0,Critical,making_progress,77.0
MATHIS,990.S,10.0,Critical,making_progress,77.0
NINA,633.XS,10.0,Critical,doing_good,279.0
CHIARA,735.L,10.0,Critical,making_progress,87.0
MYLANA,990S,10.0,Critical,making_progress,77.0
FAWN,932.3XS.,10.0,Critical,making_progress,119.99
LORNA,72312,10.0,Critical,doing_good,297.0
LORNA,72314,10.0,Critical,doing_good,297.0
LORNA,116.14.,10.0,Critical,doing_good,297.0
ARTHUR,815.XL,10.0,Critical,making_progress,189.99
SELMA,990.L,10.0,Critical,making_progress,117.0
KATHLEEN,990.02,10.0,Critical,doing_good,249.99
KATHLEEN,990.08,10.0,Critical,doing_good,249.99
GISELE,990.M,10.0,Critical,making_progress,77.0
MOLLIE,870.L.,10.0,Critical,making_progress,87.0
JOSEF,870.XL.,10.0,Critical,making_progress,87.0
FARRYN,870.S.,10.0,Critical,making_progress,87.0
EMMILA,990.XS.,10.0,Critical,doing_good,329.0
EMMILA,990.2XS.,10.0,Critical,doing_good,329.0
ABERDEEN CARDHOLDER,677.NS,10.0,Critical,okay,29.0
KEYSI MEDIUM BI-FOLD WALLET,112.NS,10.0,Critical,okay,59.0
ALEYNA,932.00.,10.0,Critical,making_progress,89.99
AILEE,553.06,10.0,Critical,making_progress,149.99
FARRYN,870.M.,10.0,Critical,making_progress,87.0
AILEE,553.02,10.0,Critical,making_progress,149.99
KEYSI MEDIUM BI-FOLD WALLET,622.NS,10.0,Critical,okay,59.0
YESHA,990.S,10.0,Critical,okay,29.0
TEAGAN,116.2XL.,10.0,Critical,making_progress,149.99
ANASTASIA,990.NS,10.0,Critical,making_progress,149.99
AILEE,410.10,10.0,Critical,making_progress,149.99
ESMEHA,100.00.,10.0,Critical,okay,59.99
TEAGAN,330.2XL.,10.0,Critical,making_progress,149.99
JOSEF,870.L.,10.0,Critical,making_progress,87.0
ALVARO,908.44,10.0,Critical,making_progress,77.0
MOLLIE,870.XL.,10.0,Critical,making_progress,87.0
KELVIN,930.44,10.0,Critical,okay,57.0
JOSEF,870.S.,10.0,Critical,making_progress,87.0
JOSEF,730.S,10.0,Critical,making_progress,87.0
DEVINA,670.30,10.0,Critical,okay,57.0
ESMEHA,932.12.,10.0,Critical,okay,59.99
KARSON,870.30.,11.0,Low,okay,57.0
MONACO REVERSIBLE JACKET,116.2XS.,11.0,Low,doing_good,577.0
LETTA,990L,11.0,Low,making_progress,97.0
MATTHEW,853.30,11.0,Low,making_progress,67.0
MATTHEW,870.34,11.0,Low,making_progress,67.0
CIANA LARGE WALLET / CROSSBODY,402.NS,11.0,Low,making_progress,68.88
LENAH,990.XL.,11.0,Low,doing_good,597.0
DARLA,545.NS,11.0,Low,okay,19.99
LENNI,990.02,11.0,Low,okay,0.0
MILES,990.S,11.0,Low,doing_good,499.0
LENNI,870.08,11.0,Low,doing_good,199.0
MAGALIE,312.M,11.0,Low,doing_good,427.0
LENNI,870.06,11.0,Low,doing_good,199.0
DEVINA,620.26,11.0,Low,okay,57.0
MONACO REVERSIBLE JACKET,116.M.,11.0,Low,doing_good,577.0
ZANE,350.XL,11.0,Low,making_progress,169.99
DARIA,723.XS,11.0,Low,doing_good,447.0
CYRIL,990.NS,11.0,Low,okay,59.0
KELVIN,853.34,11.0,Low,okay,57.0
ARTHUR,815.2XL,11.0,Low,making_progress,189.99
MARLEKA,990.S.,11.0,Low,making_progress,117.0
SELMA,990.M,11.0,Low,making_progress,117.0
MARLEKA,990.L.,11.0,Low,making_progress,117.0
CORBAN,460.M,11.0,Low,doing_good,537.0
AVELINE,910.M,11.0,Low,making_progress,117.0
HENRIQUE,990M,11.0,Low,making_progress,97.0
LUKA,977.2XL.,11.0,Low,doing_good,449.0
JAXON,733.2XL,11.0,Low,doing_good,547.0
CHELSEY BACKPACK,423.NS,11.0,Low,making_progress,99.0
BOYD,990.46,11.0,Low,okay,57.0
MAXTON,730.XL,11.0,Low,doing_good,499.0
MILES,730.S,11.0,Low,doing_good,499.0
AIDA,555.XS.,11.0,Low,making_progress,169.99
ESMEHA,932.00.,11.0,Low,okay,59.99
BOYD,890.46,11.0,Low,okay,57.0
DEVINA,670.36,11.0,Low,okay,57.0
DEVINA,670.28,11.0,Low,okay,57.0
CELINA MEDIUM BI-FOLD WALLET,853NS,11.0,Low,making_progress,79.0
JAMIE,990.L,11.0,Low,doing_good,399.0
MOLLIE,870.M.,11.0,Low,making_progress,87.0
JOSEF,870.M.,11.0,Low,making_progress,87.0
JULIETTE,580.XL,11.0,Low,doing_good,397.0
JULIETTE,815.L,11.0,Low,doing_good,397.0
JULIETTE,815.S,11.0,Low,doing_good,397.0
AILEE,553.04,11.0,Low,making_progress,149.99
LORNA,870.02,11.0,Low,doing_good,297.0
JOSEF,730.M,11.0,Low,making_progress,87.0
SAHARA SMALL WALLET,622.NS,11.0,Low,okay,38.99
EMMILA,632.L.,11.0,Low,doing_good,329.0
SILA,853.42,11.0,Low,making_progress,77.0
NOLAN,990.L,11.0,Low,making_progress,77.0
SILA,953.28,11.0,Low,making_progress,77.0
NOLAN,870.M,11.0,Low,making_progress,77.0
NOVA,990.XL.,11.0,Low,doing_good,379.0
AGATHA,990.2XS.,11.0,Low,doing_good,379.0
AGATHA,990.M.,11.0,Low,doing_good,379.0
JARRET,990XL,11.0,Low,doing_good,299.99
SILA,953.38,11.0,Low,making_progress,77.0
JAMIE,990.XL,11.0,Low,doing_good,399.0
ROSCOE,330.XS.,11.0,Low,making_progress,129.99
DANA,990.08,11.0,Low,doing_good,249.0
NINA,633.2XS,11.0,Low,doing_good,279.0
ROBB,733.XL,11.0,Low,doing_good,279.99
JANE,919.L.,11.0,Low,doing_good,249.0
KATHLEEN,990.10,11.0,Low,doing_good,249.99
VIVIAN,990.S.,11.0,Low,okay,39.0
ALEYNA,990.06.,11.0,Low,making_progress,89.99
ALEYNA,932.14.,11.0,Low,making_progress,89.99
RENFIELD,916.XL.,11.0,Low,doing_good,349.99
MILLER 2,720S,11.0,Low,doing_good,399.0
MOLLIE,870.S.,11.0,Low,making_progress,87.0
BETTY,990.2XS.,11.0,Low,doing_good,399.0
CONNOR,734.2XL.,11.0,Low,doing_good,349.0
YANNA,730.42,11.0,Low,making_progress,87.0
SILA,953.30,11.0,Low,making_progress,77.0
FARRYN,549.S.,11.0,Low,making_progress,87.0
OSLO,990.XS,11.0,Low,doing_good,349.0
ENZO,470.2XL.,11.0,Low,doing_good,349.0
SILA,953.42,11.0,Low,making_progress,77.0
TINSLEY LARGE WALLET,853.NS,11.0,Low,making_progress,79.99
BRAD,977.S.,12.0,Low,doing_good,469.0
EMMILA,990.M.,12.0,Low,doing_good,329.0
FAWN,100.XL.,12.0,Low,making_progress,119.99
FARRYN,870.L.,12.0,Low,making_progress,87.0
BERNARD,723.S.,12.0,Low,doing_good,497.0
AMINA,653NS,12.0,Low,okay,49.99
SILA,953.36,12.0,Low,making_progress,77.0
GISELE,990.S,12.0,Low,making_progress,77.0
BOSTON REVERSIBLE,919.2XL.,12.0,Low,best_sellers,697.0
BOSTON REVERSIBLE HOODIE,911.2XL.,12.0,Low,best_sellers,677.0
TATIANA,990.XS,12.0,Low,doing_good,299.0
SPENCE SLING BAG,990.NS,12.0,Low,doing_good,179.0
ARTHUR,815.L,12.0,Low,doing_good,189.99
ARTHUR,815.M,12.0,Low,doing_good,189.99
BERNARD,723.XL.,12.0,Low,doing_good,497.0
MANDY,549.2XS,12.0,Low,doing_good,547.0
MONIKA,116.M.,12.0,Low,doing_good,547.0
JAXON,990.XS,12.0,Low,doing_good,547.0
BRAM MESSENGER BAG,990.NS,12.0,Low,doing_good,199.0
MARCY,216.NS,12.0,Low,making_progress,79.99
HARPER LARGE TOTE,870.NS.,12.0,Low,making_progress,129.0
ROSCOE,330.S.,12.0,Low,making_progress,129.99
SCOTTIE,990.2XL.,12.0,Low,doing_good,499.0
MAXTON,730.M,12.0,Low,doing_good,499.0
FRANK,990.L,12.0,Low,doing_good,499.0
MANDY,990.M,12.0,Low,doing_good,547.0
CATERINNA CAMERA BAG,857.NS,12.0,Low,making_progress,129.99
KELVIN,350.44,12.0,Low,making_progress,57.0
AZARIA,116.L.,12.0,Low,doing_good,449.0
HUDSON,990.S,12.0,Low,making_progress,97.0
SANDER,990.L,12.0,Low,doing_good,399.99
VIVENNE,870.XS.,12.0,Low,doing_good,399.0
ESMEHA,932.02.,12.0,Low,making_progress,59.99
CATERINNA CROSSBODY,550.NS,12.0,Low,making_progress,149.99
AILEE,553.08,12.0,Low,making_progress,149.99
ROMAN,990.L,12.0,Low,okay,29.0
PIPPA TOTE,990.NS.,12.0,Low,making_progress,149.99
DAIRA,990.S,12.0,Low,okay,29.0
MYLAH CROSSBODY,990.NS.,12.0,Low,making_progress,159.0
DAIRA,990.M,12.0,Low,okay,29.0
SPENCE BELT BAG,990.NS,12.0,Low,making_progress,149.0
VIVENNE,870.M.,12.0,Low,doing_good,399.0
CHIARA,990.L,12.0,Low,making_progress,87.0
JULIETTE,815.2XS,12.0,Low,doing_good,397.0
JULIETTE,990.3XS,12.0,Low,doing_good,397.0
JULIETTE,815.M,12.0,Low,doing_good,397.0
ALVARO,908.48,12.0,Low,making_progress,77.0
ALICE,990.M.,12.0,Low,doing_good,379.0
AVERY,100.2XS,12.0,Low,doing_good,379.0
DAIRA,990.XL,12.0,Low,okay,29.0
ZANE,350.L,12.0,Low,making_progress,169.99
RENFIELD,916.L.,12.0,Low,doing_good,349.99
CHRISSY,990.XS.,12.0,Low,making_progress,97.0
RONAN,990.M,12.0,Low,doing_good,449.0
KELVIN,350.46,12.0,Low,making_progress,57.0
BOYD,890.42,12.0,Low,making_progress,57.0
BOYD,890.40,12.0,Low,making_progress,57.0
DARIA,723.L,12.0,Low,doing_good,447.0
DARIA,990.S,12.0,Low,doing_good,447.0
PRIMA,990.L,12.0,Low,making_progress,87.0
ANDRA,990.S,12.0,Low,making_progress,117.0
DEVINA,670.42,12.0,Low,making_progress,57.0
LETTA,990S,12.0,Low,making_progress,97.0
KELVIN,853.48,12.0,Low,making_progress,57.0
DEVINA,670.26,12.0,Low,making_progress,57.0
JOLIE,990.14.,12.0,Low,making_progress,89.99
JOLIE,990.02.,12.0,Low,making_progress,89.99
JOLIE,932.08.,12.0,Low,making_progress,89.99
MATTHEW,990.46,12.0,Low,making_progress,67.0
MATTHEW,853.28,12.0,Low,making_progress,67.0
CLARICE,990.XS,12.0,Low,doing_good,349.0
SAMUEL,990.L.,12.0,Low,doing_good,349.0
HUDSON,990.M,12.0,Low,making_progress,97.0
KELVIN,853.32,12.0,Low,making_progress,57.0
SILA,909.40,12.0,Low,making_progress,77.0
MATTHEW,870.38,13.0,Low,making_progress,67.0
ABERDEEN CARDHOLDER,842.NS,13.0,Low,okay,29.0
KATHLEEN,990.04,13.0,Low,doing_good,249.99
JANE,919.S.,13.0,Low,doing_good,249.0
JANE,919.XS.,13.0,Low,doing_good,249.0
ROMAN,990.XL,13.0,Low,okay,29.0
BERNARD,723.M.,13.0,Low,doing_good,497.0
MILES,990.XL,13.0,Low,doing_good,499.0
YANNA,953.42,13.0,Low,making_progress,87.0
BOWEN,990.S,13.0,Low,doing_good,449.0
YANNA,953.40,13.0,Low,making_progress,87.0
AGATHA,990.XS.,13.0,Low,doing_good,379.0
ROSA CROSSBODY BAG,823.NS.,13.0,Low,doing_good,169.0
MATTHEW,870.28,13.0,Low,making_progress,67.0
MATTHEW,853.46,13.0,Low,making_progress,67.0
MATTHEW,853.32,13.0,Low,making_progress,67.0
CHICAGO,990.2XL.,13.0,Low,best_sellers,529.0
GRADY,330.2XL.,13.0,Low,making_progress,159.99
YANNA,953.28,13.0,Low,making_progress,87.0
CORBAN,730.2XL.,13.0,Low,best_sellers,537.0
AZARIA,116.2XS.,13.0,Low,doing_good,449.0
DARIA,723.S,13.0,Low,doing_good,447.0
EMMILA,990.L.,13.0,Low,doing_good,329.0
BETTY,116.2XS.,13.0,Low,doing_good,399.0
ADELYN,990.XS,13.0,Low,doing_good,399.0
MAGALIE,815.2XS.,13.0,Low,doing_good,427.0
MAGALIE,555.S.,13.0,Low,doing_good,427.0
MAGALIE,116.XS,13.0,Low,doing_good,427.0
MAGALIE,312.2XS,13.0,Low,doing_good,427.0
AZARIA,116.M.,13.0,Low,doing_good,449.0
JARRET,9902XL,13.0,Low,doing_good,299.99
BOSTON REVERSIBLE HOODIE,731.XL.,13.0,Low,best_sellers,677.0
HANNAH,990.2XS,13.0,Low,doing_good,447.0
ALVARO,908.30,13.0,Low,making_progress,77.0
SILA,909.28,13.0,Low,making_progress,77.0
ALVARO,908.46,13.0,Low,making_progress,77.0
GISELE,550.L,13.0,Low,making_progress,77.0
GISELE,550.M,13.0,Low,making_progress,77.0
LORNA,99000,13.0,Low,doing_good,297.0
ALEYNA,932.12.,13.0,Low,making_progress,89.99
FELICITY,998.NS,13.0,Low,making_progress,69.0
HAYDEN,931.XS,13.0,Low,best_sellers,547.0
