Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,999.0,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,days_of_inventory,tier,reorder_threshold
20-10-20,BOSTON REVERSIBLE,102794,FA26,"BOSTON -REVERSIBLE JACKET W/KNIT COLLAR, CUFF & WB",BLACK/BLACK,919.M.,0135729111155,697.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,25,22.0,15334.0,30,best_sellers,500
20-10-30,HAYDEN,100980,KI00,HAYDEN - BOMBER W/KNIT COLLAR STORM INSERT,BLACK,990.S,9135729099279,547.0,0.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0,28,28.0,15316.0,30,best_sellers,500
10-30-10,ARLETH SHOULDER BAG,102753,SP25,ARLETH - SHOULDER BAG W/ EMBOSSED FLOWERS,POWDER BLUE,405.NS.,0135729110911,249.0,1.0,9.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,0,62,61.0,15189.0,30,best_sellers,500
10-30-10,ARLETH CROSSBODY,102754,SP25,ARLETH - CROSSBODY W/EMBOSSED FLOWERS & TOP HANDLE,POWDER BLUE,405.NS.,0135729110913,239.0,0.0,8.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0,63,63.0,15057.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,BLACK,990.M,0135729100745,537.0,21.0,6.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0,49,28.0,15036.0,30,best_sellers,500
20-10-30,HAYDEN,100980,KI00,HAYDEN - BOMBER W/KNIT COLLAR STORM INSERT,BLACK,990.M,9135729099286,547.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3,34,27.0,14769.0,30,best_sellers,500
10-30-10,JOVIE CROSSBODY,102733,SP25,JOVIE - CROSSBODY BAG W/ TOP HANDLE & 3D FLOWERS,BLACK,990.NS.,0135729110737,229.0,36.0,10.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,6.0,1.0,1.0,1,101,64.0,14656.0,30,best_sellers,500
20-10-20,BOSTON REVERSIBLE,102794,FA26,"BOSTON -REVERSIBLE JACKET W/KNIT COLLAR, CUFF & WB",BLACK/BLACK,919.L.,0135729111156,697.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,22,21.0,14637.0,30,best_sellers,500
10-30-10,ARLETH CROSSBODY,102754,SP25,ARLETH - CROSSBODY W/EMBOSSED FLOWERS & TOP HANDLE,WHITE,100.NS.,0135729110912,239.0,1.0,9.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,0,62,61.0,14579.0,30,best_sellers,500
20-30-10,ATTICUS SLING,102757,SP25,ATTICUS - SLING BAG W/ STUDS DETAIL,DARK BROWN,890.NS.,0135729110921,229.0,23.0,10.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,5,91,63.0,14427.0,30,best_sellers,500
20-10-20,BECKETT,102663,FA25,BECKETT - JACKET W/CHEST FLAP PKTS & BUTTON FRONT,BROWN,870.M.,0135729110104,647.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,26,22.0,14234.0,30,best_sellers,500
20-10-30,ADRIAN,102662,FA25,ADRIAN - REVERSIBLE BOMBER W/ ZIP FRONT & HOOD,BLACK,990.L.,0135729110098,647.0,39.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,61,22.0,14234.0,30,best_sellers,500
20-10-30,HAYDEN,100980,KI00,HAYDEN - BOMBER W/KNIT COLLAR STORM INSERT,BLACK,990.L,9135729099293,547.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0,30,26.0,14222.0,30,best_sellers,500
20-10-20,BOSTON REVERSIBLE HOODIE,102793,FA26,BOSTON - REVERSIBLE LEATHER & NYLON BOMBER W/HOOD,COGNAC/NAVY,731.M.,0135729111110,677.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,24,21.0,14217.0,30,best_sellers,500
20-10-20,BOSTON REVERSIBLE HOODIE,102793,FA26,BOSTON - REVERSIBLE LEATHER & NYLON BOMBER W/HOOD,BLACK/NAVY,911.L.,0135729111149,677.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,24,21.0,14217.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,RED,620M,0135729102783,537.0,15.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,44,26.0,13962.0,30,best_sellers,500
20-10-30,JAXON,100552,KI00,JAXON - BOMBER WITH DETACHABLE FABRIC HOOD,BLACK,990.L,9135729065380,547.0,17.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2,44,25.0,13675.0,30,best_sellers,500
20-10-20,BECKETT,102663,FA25,BECKETT - JACKET W/CHEST FLAP PKTS & BUTTON FRONT,BROWN,870.L.,0135729110105,647.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,41,21.0,13587.0,30,best_sellers,500
20-10-20,BECKETT,102663,FA25,BECKETT - JACKET W/CHEST FLAP PKTS & BUTTON FRONT,BROWN,870.XL.,0135729110102,647.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,25,21.0,13587.0,30,best_sellers,500
20-20-10,TONI,102787,SP25,TONI - BLAZER W/BUTTON FRONT & FLAP POCKETS,CHARCOAL,940.L.,0135729111059,647.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,24,21.0,13587.0,30,best_sellers,500
